id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
298,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9.07,TAHUN,2021
299,32,JAWA BARAT,3205,KABUPATEN GARUT,7.53,TAHUN,2021
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.48,TAHUN,2021
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.9,TAHUN,2021
302,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.8,TAHUN,2021
303,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.1,TAHUN,2021
304,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.31,TAHUN,2021
305,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.52,TAHUN,2021
306,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.52,TAHUN,2021
307,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.11,TAHUN,2021
308,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.1,TAHUN,2021
309,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.78,TAHUN,2021
310,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.3,TAHUN,2021
311,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.2,TAHUN,2021
312,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.85,TAHUN,2021
313,32,JAWA BARAT,3271,KOTA BOGOR,10.53,TAHUN,2021
314,32,JAWA BARAT,3272,KOTA SUKABUMI,9.81,TAHUN,2021
315,32,JAWA BARAT,3273,KOTA BANDUNG,10.99,TAHUN,2021
316,32,JAWA BARAT,3274,KOTA CIREBON,10.12,TAHUN,2021
317,32,JAWA BARAT,3275,KOTA BEKASI,11.31,TAHUN,2021
318,32,JAWA BARAT,3276,KOTA DEPOK,11.46,TAHUN,2021
319,32,JAWA BARAT,3277,KOTA CIMAHI,11.08,TAHUN,2021
320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.52,TAHUN,2021
321,32,JAWA BARAT,3279,KOTA BANJAR,8.77,TAHUN,2021
322,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.34,TAHUN,2022
323,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.11,TAHUN,2022
324,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.2,TAHUN,2022
